Item Number,Quantity,Description,Size,Salon Each,Category
KPPEE0010,0,KINESSENCES  1.0 Black,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0011,0,KINESSENCES  1.1 Blue Black,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0030,0,KINESSENCES  3.0 Dark Chestnut,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0040,0,KINESSENCES  4.0 Medium Chestnut,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0450,0,KINESSENCES  4.50 Medium Chocolate Chestnut Brown,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0451,0,KINESSENCES  4.51 Medium Mocha Chestnut Brown,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0477,0,KINESSENCES  4.77 Medium Intense Violet Chestnut,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0050,0,KINESSENCES  5.0 Light Chestnut,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0502,0,KINESSENCES  5.02 Natural Light Iridescent Chestnut,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0550,0,KINESSENCES  5.50 Light Chocolate Chestnut Brown,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0551,0,KINESSENCES  5.51 Light Mocha Chestnut Brown,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0553,0,KINESSENCES  5.53 Light Chestnut Golden Brown,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0556,0,KINESSENCES  5.56 Light Chestnut Mahogany,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0567,0,KINESSENCES  5.67 Light Red Violet Chestnut,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0060,0,KINESSENCES  6.0 Dark Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0602,0,KINESSENCES  6.02 Natural Dark Iridescent Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0061,0,KINESSENCES  6.1 Dark Ash Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0063,0,KINESSENCES  6.3 Dark Golden Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0632,0,KINESSENCES  6.32 Dark Beige Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0634,0,KINESSENCES  6.34 Dark Golden Copper Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0643,0,KINESSENCES  6.43 Dark Copper Golden Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0650,0,KINESSENCES  6.50 Dark Chocolate Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
KPPEE0651,0,KINESSENCES  6.51 Dark Mocha Blonde,60 ml,$7.95 ,KINESSENCES Color - Ammonia Free 2 in 1 Coloring System
