Item Number,Quantity,Description,Size,UPC Code,Salon Each,Extended,Category
KPPE00101,,Prestige 10.1  Platinum Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00103,,Prestige 10.3  Platinum Golden Blonde  ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01032,,Prestige 10.32  Platinum Beige Blonde   ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00110,,Prestige 11.0  Super Light Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01102,,Prestige 11.02 Super Light Pearl Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00111,,Prestige 11.1  Super Light Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01112,,Prestige 11.12  Super Light Pearl Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00113,,Prestige 11.3 Super Light Golden Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01132,,Prestige 11.32  Super Light Beige Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE01134,,Prestige 11.34 Super Light Copper Golden Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00120,,Prestige 12.0  Extra Light Blonde ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00121,,Prestige 12.1 Extra Light Ash Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN030,,Prestige CN 3.0  Cool Dark Chestnut,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN040,,Prestige CN 4.0  Cool Medium Chestnut,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN050,,Prestige CN 5.0  Cool Light Chestnut,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN060,,Prestige CN 6.0  Cool Dark Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN070,,Prestige CN 7.0  Cool Medium Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN080,,Prestige CN 8.0  Cool Light Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN090,,Prestige CN 9.0  Cool Very Light Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN100,,Prestige CN 10.0  Cool Platinum Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN300,,Prestige CN 3.00  Cool Intense Dark Chestnut,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN400,,Prestige CN 4.00  Cool Intense Medium Chestnut,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN500,,Prestige CN 5.00  Cool Intense Light Chestnut,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN600,,Prestige CN 6.00  Cool Intense Dark Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN700,,Prestige CN 7.00  Cool Intense Medium Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN800,,Prestige CN 8.00  Cool Intense Light Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPECN900,,Prestige CN 9.00  Cool Intense Very Light Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPEC1000,,Prestige CN 10.00  Cool Intense Platinum Blonde,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M00,,Prestige M/00  Lightener ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M11,,Prestige M/11  Ash,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M33,,Prestige M/33  Golden,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M44,,Prestige M/44  Copper,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M66,,Prestige M/66  Red ,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M77,,Prestige M/77  Violet,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M88,,Prestige M/88  Green,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00M99,,Prestige M/99  Blue,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00C44,,Contrast C44  Copper,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00C55,,Contrast C55  Reddish Copper,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00C66,,Contrast C66  Fiery Red,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00C77,,Contrast C77  Ruby Red,60 ml,, $7.95 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00V44,,Color Vibrance V44 Copper - 75 ml,75.ml,, $18.00 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00V66,,Color Vibrance V66 Red - 75 ml,75.ml,, $18.00 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPPE00V77,,Color Vibrance V77 Purple - 75 ml,75.ml,, $18.00 , $-   ,KINCREM Prestige - Permanent Haircolor enriched with Keratin
KPSE00010,,Glamour 1.0  Black,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00210,,Glamour 2.10  Blue Black,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00040,,Glamour 4.0  Medium Chestnut,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00442,,Glamour 4.42 Medium Iridescent Copper Chestnut,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00470,,Glamour 4.70  Violin Red,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00050,,Glamour 5.0  Light Chestnut,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00550,,Glamour 5.50  Medium Mahogany,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00551,,Glamour 5.51  Coffee Brown,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00556,,Glamour 5.56  Raspberry Red,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00643,,Glamour 6.43 Dark Golden Copper Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00650,,Glamour 6.50  Light Mahogany,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00651,,Glamour 6.51  Chocolate Brown,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00653,,Glamour 6.53  Havana Brown ,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00662,,Glamour 6.62  Cassis Red,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00676,,Glamour 6.76  Blackcurrant Red,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00070,,Glamour 7.0  Medium Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00713,,Glamour 7.13  Medium Golden Ash Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00735,,Glamour 7.35  Hazelnut Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00743,,Glamour 7.43  Birch,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00744,,Glamour 7.44  Intense Medium Copper Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00752,,Glamour 7.52  Iridescent Brown,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00766,,Glamour 7.66  Cherry Red,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00080,,Glamour 8.0  Light Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00083,,Glamour 8.3  Light Golden Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00833,,Glamour 8.33  Intense Light Golden Blonde ,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00834,,Glamour 8.34  Light Copper Golden Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00846,,Glamour 8.46  Light Mahogany Copper Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00090,,Glamour 9.0  Very Light Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00903,,Glamour 9.03  Very Light Beige Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00099,,Glamour 9.9  Silver Grey,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00103,,Glamour 10.3  Platinum Golden Blonde,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00M66,,Glamour M66  Red,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPSE00M67,,Glamour M67  Violet Red,60 ml,, $6.95 , $-   ,NEWCOLOR Glamour - Semi-permanent Color
KPDE10PLT,,Oxydant Color Plus 10 vol (3%),liter,, $12.00 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE20PLT,,Oxydant Color Plus 20 vol (6%),liter,, $12.00 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE30PLT,,Oxydant Color Plus 30 vol (9%),liter,, $12.00 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE40BLT,,Oxydant Blondes 40 vol (12%),liter,, $12.00 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE20P60,,Oxydant Color Plus 20 vol (6%),60 ml,, $2.50 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE30P60,,Oxydant Color Plus 30 vol (9%),60 ml,, $2.50 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE40B12,,Oxydant Blondes 40 vol (12%),120 ml,, $4.00 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE05GLT,,Glamour Developer 5 Volume,liter,, $10.00 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE18GLT,,Glamour Developer Intense 18 volume,liter,, $10.00 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE12G12,,Glamour Developer 12 Volume,120 ml,, $4.00 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPDE18G12,,Glamour Developer Intense 18 volume,120 ml,, $4.00 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPBLPOWSA,,KinBlond Bleaching Powder,30 gr,, $5.00 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
KPBLPOW50,,KinBlond Bleaching Powder,500 gr,, $28.00 , $-   ,"OXYDANTS, DEVELOPERS & KINBLOND"
